Name	Set	ImageFile	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text	Script
Genie, On the Job	tfc	75_en_genie-716.jpg	SR	Emerald	6	0	Storyborn - Ally	3	4	{L}{L}	Evasive (Only characters with Evasive can challenge this character.) | DISAPPEAR When you play this character, you may return chosen character to their player's hand.	
Iago, Loud-Mouthed Parrot	tfc	80_en_iago-716.jpg	R	Emerald	3	1	Storyborn - Ally	1	4	{L}	YOU GOT A PROBLEM {T} - Chosen character gains Reckless during their next turn. (They can't quest and must challenge if able.)	
Sergeant Tibbs, Courageous Cat	tfc	124_en_sergeant_tibbs-716.jpg	C	Ruby	1	1	Storyborn	2	2	{L}		
Cerberus, Three-Headed Dog	tfc	176_en_cerberus-716.jpg	C	Steel	5	1	Storyborn	5	6	{L}		
Timon, Grub Rustler	tfc	24_en_timon-716.jpg	C	Amber	1	1	Storyborn - Ally	1	2	{L}	TASTES LIKE CHICKEN When you play this  | character, you may remove up to 1 damage from  | chosen character.	
Mickey Mouse, Musketeer	tfc	186_en_mickey_mouse-716.jpg	R	Steel	6	1	Hero - Dreamborn - Musketeer	2	7	{L}{L}	Bodyguard (This character may enter play exerted.  | An opposing character who challenges one of  | your characters must choose one with Bodyguard | if able.) | ALL FOR ONE Your other Musketeer characters | get +1 {C}.	
Be Our Guest	tfc	25_en_be_our_guest-716.jpg	U	Amber	2	1	Action - Song				(A character with cost 2 or more can {T} to sing this | song for free.) | Look at the top 4 cards of your deck. You may reveal a | character card and put it into your hand. Put the rest | on the bottom of your deck in any order.	<s><l>Look at top 4 cards</l><f>/vp1pt4</f></s>
The Beast is Mine!	tfc	99_en_the_beast_is_mine-716.jpg	U	Emerald	3	1	Action				Chosen character gains Reckless during their next | turn. (They can‘t quest and must challenge if able.)	
Friends On The Other Side	tfc	64_en_friends_on_the_other_side-716.jpg	C	Amethyst	3	1	Action - Song				(A character with cost 3 or more can {T} to sing this song for free.) |  | Draw 2 cards.	<s><l>Draw 2</l><f>/draw 2</f></s>
Maleficent, Sorceress	tfc	49_en_maleficent-716.jpg	C	Amethyst	3	1	Sorcerer - Storyborn - Villain	2	2	{L}	CAST MY SPELL When you play this character, you may draw a card.	<s><l>Draw</l><f>/draw 1</f></s>
Jafar, Wicked Sorcerer	tfc	45_en_jafar-716.jpg	C	Amethyst	4	1	Dreamborn - Sorcerer - Villain	2	5	{L}	Challenger +3 (When challenging, this character get +3 {C}.)	
Dr. Facilier, Charlatan	tfc	38_en_dr_facilier-716.jpg	C	Amethyst	2	1	Sorcerer - Storyborn - Villain		4	{L}	Challenger +2 (When challenging, this character get +2 {C}.)	
Maximus, Relentless Pursuer	tfc	11_en_maximus-716.jpg	U	Amber	3	1	Dreamborn - Ally	3	3	{L}	HORSE KICK When you play this character, chosen character gets -2 {C} this turn.	
Ariel, On Human Legs	tfc	1_en_ariel-716.jpg	U	Amber	4	1	Hero - Storyborn - Princess	3	4	{L}{L}	VOICELESS This character can't {T} to sing songs.	
Beast, Hardheaded	tfc	172_en_beast-716.jpg	U	Steel	5	1	Hero - Storyborn - Prince	4	4	{L}{L}	DESTRUCTION When you play this character, you may banish chosen item card.	
Smash	tfc	200_en_smash-716.jpg	U	Steel	3	1	Action				Deal 3 damage to the chosen character.	
Prince Eric, Dashing and Brave	tfc	187_en_prince_eric-716.jpg	C	Steel	2	1	Hero - Storyborn - Prince	1	3	{L}	Challenger +2 (While challenging, this character gets +2 {C}.)	
Goons, Maleficent's Underlings	tfc	179_en_goons-716.jpg	C	Steel	1	1	Storyborn - Ally	2	2	{L}		
Jasmine, Disguised	tfc	148_en_jasmine-716.jpg	C	Sapphire	3	1	Storyborn - Princess	3	3	{L}{L}		
Aurora, Briar Rose	tfc	138_en_aurora-716.jpg	C	Sapphire	4	1	Hero - Storyborn - Princess	2	5	{L}	DISTURBING BEAUTY When you play this character, chosen character gets -2 {C} for the rest of the turn.	
Mickey Mouse, Steamboat Pilot	tfc	89_en_mickey_mouse_steamboat_pilot-716.jpg	C	Emerald	3	1	Hero - Storyborn - Captain	3	4	{L}		
Just in Time	tfc	29_en_just_in_time-716.jpg	R	Amber	3	0	Action				You may play a character with cost 5 or less for free.	
Lefou, Bumbler	tfc	8_en_lefou-716.jpg	U	Amber	2	1	Storyborn - Ally	1	2	{L}{L}	LOYAL If you have a character named Gaston in play, you pay 1 {I} less to play this character.	
Donald Duck, Boisterous Fowl	tfc	108_en_donald_duck-716.jpg	U	Ruby	2	1	Storyborn	2	3	{L}		
Captain Hook, Captain of the Jolly Roger	tfc	173_en_captain_hook-716.jpg	R	Steel	4	0	Storyborn - Villain - Pirate - Captain	3	4	{L}	DOUBLE THE POWDER! When you play this character, you may return an action card named Fire the Cannons! from your discard to your hand.	
Belle, Inventive Engineer	tfc	141_en_belle-716.jpg	U	Sapphire	3	1	Hero - Dreamborn - Inventor - Princess	2	3	{L}{L}	TINKER Whenever this character quests, you pay 1 {I} less for the next item you play this turn.	
Control Your Temper!	tfc	26_en_control_your_temper-716.jpg	C	Amber	1	1	Action				Chosen character gets -2 {C} this turn.	
Minnie Mouse, Beloved Princess	tfc	13_en_minnie_mouse-716.jpg	C	Amber	2	1	Dreamborn - Princess	2	3	{L}		
Maleficent, Biding Her Time	tfc	48_en_maleficent-716.jpg	R	Amethyst	1	0	Dreamborn - Sorcerer - Villain	1	1	{L}{L}		
Lantern	tfc	33_en_lantern-716.jpg	R	Amber	2	0	Item				BIRTHDAY LIGHTS {T} - You pay 1 {I} less for the next character you play this turn.	
Hercules, True Hero	tfc	181_en_hercules-716.jpg	C	Steel	3	1	Hero - Dreamborn - Prince	3	3	{L}	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)	
Aurora, Regal Princess	tfc	140_en_aurora-716.jpg	U	Sapphire	2	1	Hero - Storyborn - Princess	2	2	{L}{L}		
Develop Your Brain	tfc	161_en_develop_your_brain-716.jpg	C	Sapphire	1	1	Action				Look at the top 2 cards of your deck. Put one into your hand and the other on the bottom of the deck.	<s><l>Look at top 2 cards</l><f>/vp1pt2</f></s>
Mickey Mouse, True Friend	tfc	12_en_mickey_mouse-716.jpg	U	Amber	3	1	Hero - Storyborn	3	3	{L}{L}		
Heihei, Boat Snack	tfc	7_en_heihei-716.jpg	C	Amber	1	1	Storyborn - Ally	1	2	{L}	Support (Whenever this character quests, you may add their {C} to another chosen character‘s {C} this turn.)	
Coconut Basket	tfc	166_en_coconut_basket-716.jpg	U	Sapphire	2	1	Item				CONSIDER THE COCONUT Whenever you play a character, | you may remove up to 2 damage from chosen character.	
Part of Your World	tfc	30_en_part_of_your_world-716.jpg	R	Amber	3	0	Action - Song				(A character with cost 3 or more can {T} to sing this song | for free.) |  Return a character card from your discard to your hand.	
Hades, Lord of the Underworld	tfc	6_en_hades-716.jpg	R	Amber	4	0	Storyborn - Villain - Deity	3	2	{L}	WELL OF SOULS When you play this character, return a character card from your discard to your hand.	
Stitch, New Dog	tfc	22_en_stitch-716.jpg	C	Amber	1	1	Hero - Alien - Storyborn	2	2	{L}		
Beast's Mirror	tfc	201_en_beasts_mirror-716.jpg	C	Steel	2	1	Item				SHOW ME {T}, 3 {I} - If you have no cards in your hand, draw a card.	<s><l>Draw</l><f>/draw 1</f></s>
Magic Broom, Bucket Brigade	tfc	47_en_magic_broom-716.jpg	C	Amethyst	2	1	Dreamborn - Broom	2	2	{L}	SWEEP When you play this character, you may shuffle a card from any discard into its player‘s deck.	
Fire the Cannons!	tfc	197_en_fire_the_cannons-716.jpg	C	Steel	1	0	Action				Deal 2 damage to chosen character.	
Flounder, Voice of Reason	tfc	145_en_flounder-716.jpg	C	Sapphire	1	1	Storyborn - Ally	2	2	{L}		
Aladdin, Heroic Outlaw	tfc	104_en_aladdin-716.jpg	SR	Ruby	7	1	Hero - Floodborn	5	5	{L}{L}	Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Aladdin.) | DARING EXPLOIT During your turn, whenever this | character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore.	
Frying Pan	tfc	202_en_frying_pan-716.jpg	U	Steel	2	1	Item				CLANG! Banish this item - Chosen character can't challenge during their next turn.	
Kristoff, Official Ice Master	tfc	182_en_kristoff-716.jpg	C	Steel	3	1	Storyborn - Ally	3	3	{L}{L}		
One Jump Ahead	tfc	164_en_one_jump_ahead-716.jpg	U	Sapphire	2	0	Action - Song				(A character with cost 2 or more can {T} to sing this song for free.) | Put the top card of your deck into your inkwell facedown and exerted.	
Let It Go	tfc	163_en_let_it_go-716.jpg	R	Sapphire	5	1	Action - Song				(A character with cost 5 or more can {T} to sing this song for free.) | Put chosen character into their player's inkwell facedown and exerted.	
Dinglehopper	tfc	32_en_dinglehopper-716.jpg	C	Amber	1	1	Item				STRAIGHTEN HAIR {T} - Remove up to 1 damage from chosen character.	
Yzma, Alchemist	tfc	60_en_yzma-716.jpg	C	Amethyst	2	1	Dreamborn - Sorcerer - Villain	2	2	{L}	YOU'RE EXCUSED Whenever this character quests, look at the top card of your deck. Put it on either the top or the bottom of your deck.	<s><l>Look at top 1 cards</l><f>/vp1pt1</f></s>
Scar, Fiery Usurper	tfc	122_en_scar-716.jpg	C	Ruby	4	1	Dreamborn - Villain	5	3	{L}		
Mickey Mouse, Wayward Sorcerer	tfc	51_en_mickey_mouse-716.jpg	SR	Amethyst	4	1	Dreamborn - Sorcerer	3	4	{L}{L}	ANIMATE BROOM You pay 1 {I} less to play Broom characters. | CEASELESS WORKER Whenever one of your Broom characters is banished in a challenge, you may return that card to your hand.	
Maurice, World-Famous Inventor	tfc	152_en_maurice-716.jpg	R	Sapphire	6	1	Dreamborn - Inventor - Mentor	2	7	{L}{L}	GIVE IT A TRY Whenever this character quests, you pay 2 {I} less for the next item you play this turn. | IT WORKS! Whenever you play an item, you may draw a card.	<s><l>Draw</l><f>/draw 1</f></s>
Cheshire Cat, Not All There	tfc	71_en_cheshire_cat-716.jpg	U	Emerald	3	1	Storyborn		3	{L}{L}	Lose something? When this character is challenged and banished, banish the challenging character.	
Goofy, Daredevil	tfc	111_en_goofy-716.jpg	C	Ruby	5	1	Hero - Dreamborn	3	4	{L}{L}	Evasive (Only characters with Evasive can challenge this character.)	
Tigger, Wonderful Thing	tfc	127_en_tigger-716.jpg	U	Ruby	6	1	Storyborn - Tigger	4	4	{L}{L}	Evasive (Only characters with Evasive can challenge this character.)	
Lady Tremaine, Wicked Stepmother	tfc	85_en_lady_tremaine-716.jpg	R	Emerald	6	0	Dreamborn - Villain	1	5	{L}	Do it again! When you play this character, you may return an action card from your discard to your hand.	
Mickey Mouse, Brave Little Tailor	tfc	115_en_mickey_mouse-716.jpg	L	Ruby	8	1	Hero - Dreamborn	5	5	{L}{L}{L}{L}	Evasive (Only characters with Evasive can challenge this character.)	
Tinker Bell, Tiny Tactician	tfc	cards%2Ftfc%2F194_en_tinkerbell-716.jpg	C	Steel	3	1	Dreamborn - Ally - Fairy	2	4	{L}	Battle plans {T} - Draw a card, then choose and discard a card.	<s><l>Draw</l><f>/draw 1</f></s>
Gantu, Galactic Federation Captain	tfc	178_en_gantu-716.jpg	L	Steel	8	1	Alien - Storyborn - Captain	6	6	{L}{L}	Under arrest Characters with cost 2 or less can't challenge your characters.	
White Rabbit's Pocket Watch	tfc	68_en_white_rabbits_pocket_watch-716.jpg	R	Amethyst	3	1	Item				I'm late! {T}, 1 {I} - Chosen character gains Rush this turn. (They can challenge the turn they're played.)	
Aladdin, Prince Ali	tfc	69_en_aladdin-716.jpg	C	Emerald	2	1	Hero - Storyborn - Prince	2	2	{L}	Ward (Opponents can't choose this character except to challenge.)	
Scar, Mastermind	tfc	158_en_scar-716.jpg	R	Sapphire	6	1	Storyborn - Villain	5	4	{L}{L}	Insidious plot When you play this character, chosen opposing character gets -5 {C} this turn.	
The Wardrobe, Belle's Confidant	tfc	57_en_the_wardrobe-716.jpg	C	Amethyst	3	1	Dreamborn - Ally	3	4	{L}		
Healing Glow	tfc	28_en_healing_glow-716.jpg	C	Amber	1	1	Action				Remove up to 2 damage from chosen character.	
Magic Mirror	tfc	66_en_magic_mirror-716.jpg	R	Amethyst	2	0	Item				Speak {T}, 4 {I} - Draw a card.	<s><l>Draw</l><f>/draw 1</f></s>
Captain Hook, Forceful Duelist	tfc	174_en_captain_hook-716.jpg	C	Steel	1	1	Dreamborn - Villain - Pirate - Captain	1	2	{L}	Challenger +2 (While challenging, this character get +2 {C}.)	
Elsa, Snow Queen	tfc	41_en_elsa-716.jpg	U	Amethyst	3	1	Hero - Dreamborn - Queen - Sorcerer	2	3	{L}	Freeze {T} - Exert chosen opposing character.	
Cruella De Vil, Miserable As Usual	tfc	72_en_cruella_de_vil-716.jpg	R	Emerald	2	1	Storyborn - Villain	1	3	{L}	You'll Be Sorry When this character is challenged and banished, you may return chosen character to their player's hand.	
Maleficent, Monstrous Dragon	tfc	113_en_maleficent-716.jpg	L	Ruby	9	1	Storyborn - Villain - Dragon	7	5	{L}{L}	Dragon Fire When you play this character, you may banish chosen character.	
Robin Hood, Unrivaled Archer	tfc	157_en_robin-716.jpg	SR	Sapphire	6	1	Hero - Storyborn	4	4	{L}{L}	Feed The Poor When you play this character, if an opponent has more cards in their hand than you, draw a card.Good Shot During your turn, this character gains Evasive. (They can challenge characters with Evasive.)	
Stitch, Rock Star	tfc	23_en_stitch-716.jpg	SR	Amber	6	1	Hero - Floodborn - Alien	3	5	{L}{L}{L}	Shift 4 (You may pay 4 {I} to play this on top of one of your characters named Stitch.)Adoring Fans Whenever you play a character with cost 2 or less, you may exert them to draw a card.	<s><l>Draw</l><f>/draw 1</f></s>
Hades, King of Olympus	tfc	5_en_hades-716.jpg	R	Amber	8	0	Floodborn - Villain - King - Deity	6	7	{L}	Shift 6 (You may pay 6 {I} to play this on top of one of your characters named Hades.) | Sinister plot This character gets +1 {L} for every other Villain character you have in play.	
Mulan, Imperial Soldier	tfc	118_en_mulan-716.jpg	SR	Ruby	5	1	Hero - Storyborn - Princess	4	5	{L}	Lead by example During your turn, whenever this character banishes another character in a challenge, your other characters get +1 {L} this turn.	
Maleficent, Sinister Visitor	tfc	150_en_maleficent-716.jpg	C	Sapphire	4	1	Sorcerer - Storyborn - Villain	3	4	{L}{L}		
Moana, Of Motunui	tfc	14_en_moana-716.jpg	R	Amber	5	1	Hero - Storyborn - Princess	1	6	{L}{L}{L}	WE CAN FIX IT Whenever this character quests, you may ready your other Princess characters. They can‘t quest for the rest of this turn.	
Simba, Returned King	tfc	189_en_simba-716.jpg	R	Steel	7	1	Hero - Storyborn - King	4	6	{L}{L}	Challenger +4 (While challenging, this character gets | +4 {C}.) | POUNCE During your turn, this character gains  | Evasive. (They can challenge characters with Evasive.)	
Mickey Mouse, Detective	tfc	154_en_mickey_mouse-716.jpg	C	Sapphire	3	0	Hero - Dreamborn - Detective	1	3	{L}	GET A CLUE When you play this character, you may put the top card of your deck into your inkwell facedown and exerted.	
Aurora, Dreaming Guardian	tfc	139_en_aurora-716.jpg	SR	Sapphire	5	1	Hero - Floodborn - Princess	3	5	{L}{L}	Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Aurora.)Protective Embrace Your other characters gain Ward. (Opponents can't choose them except to challenge.)	
Pascal, Rapunzel's Companion	tfc	53_en_pascal-716.jpg	U	Amethyst	1	1	Storyborn - Ally	1	1	{L}	CAMOUFLAGE While you have another character | in play, this character gains Evasive. (Only characters | with Evasive can challenge them.)	
Jumba Jookiba, Renegade Scientist	tfc	83_en_jumba_jookiba-716.jpg	U	Emerald	5	1	Dreamborn - Alien - Inventor	4	5	{L}{L}		
Olaf, Friendly Snowman	tfc	52_en_olaf-716.jpg	U	Amethyst	1	1	Storyborn - Ally	1	3	{L}		
Dragon Fire	tfc	130_en_dragon_fire-716.jpg	U	Ruby	5	0	Action				Banish chosen character.	
